French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
bébé,baby
heures,hours
pendant,while
place,square
parle,speak
savais,knew
étaient,were
attention,Warning
affaire,case
donner,give
type,type
donné,given
train,train
endroit,place
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
aimerais,would like to
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
loin,far
fin,end
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
